Podcast Title,Total Downloads,Total Listeners,Average Downloads
That's Good Sports Podcast,76370,2883,339.42
That’s What B Said: A Cleveland Sports Podcast,37788,3781,740.94
The Barcelona Podcast,224881,13996,944.87
The BBall Index,6826,3171,206.84
The Benchwarmer Podcast,9,9,9.0
The Big Douglas Show ,461,64,6.68
The Bizz,19225,7743,1922.5
The Boxing Rant,29533,14183,108.57
The Boys of 161st Street - Yankees MLB Podcast,32148,2450,365.31
The Bronx Pinstripes Show - Yankees MLB Podcast,1283772,25448,2572.68
The California Golden Bearcast,11962,1304,81.37
The Capital Building Podcast With Rob Carlin,9181,2543,417.31
The Chase Down: A Cleveland Cavaliers Pod,117399,5588,456.8
The Chase Thomas Podcast,1241,416,2.05
The Check up - With Bdot and Joy,2110,637,131.87
The Chris Van Vliet Show,748244,18436,4618.79
THE CODCAST,80976,19455,1928.0
The Compound - MLB Player Podcast,253840,26796,5640.88
The Corner Podcast,67016,2436,189.31
The Dane Moore NBA Podcast,109222,12502,853.29
The Entrepreneur Ethos,2153,45,26.58
The Fantasy Points Podcast,0,0,0.0
The Fantasy Points Podcast,489461,3630,1648.01
The Fight Game Podcast,33199,1070,134.4
The Hockey PDOcast,221778,31311,637.29
The Josh & Jordan Podcast,3348,1966,76.09
The Lottery,29975,8223,697.09
The Miami Heat Beat Podcast,240788,4355,774.23
The Michael Rothstein Show Live at Regents Field,94926,3635,479.42
The New Slant: A 76ers Pod,56437,8045,956.55
The NFL Rhodes Show with Lindsay Rhodes,15549,2191,518.29
The Pitching Nerd,621,352,51.75
The Pride Podcast: A Detroit Lions Podcast,88311,2660,531.99
The Prospect,1067,603,20.92
The Rebuild: A Cleveland Browns Pod,63022,3323,611.86
There's A Lot Going On,85,68,2.93
The Roar: A Carolina Panthers Podcast,21157,2433,399.18
The Rockpile Report - A Buffalo Bills Podcast,47481,2022,176.5
The Run it Up Podcast,255,112,23.18
The Scope,69,48,5.75
The Sideline Junkies,79,34,1.71
The Sly Hooper Podcast,52,31,4.0
The Solis Report,98,82,16.33
The Staff & Graph Podcast,2098,1605,33.83
The Tajh Boyd Podcast,10943,2138,243.17
The Timeline: A Phoenix Suns Podcast,85350,7765,601.05
The Tom Shifflett Podcast,49,21,0.79
The Training Table Podcast,1275,515,91.07
The Uncontested OKC Thunder Podcast,101344,2140,267.39
The Walk Off,6803,493,123.69
The West Box Score,144,63,3.78
The Windmill Slam,18,18,9.0
Thuzio Live & Unfiltered,1801,153,54.57
Top Rope Nation - Pro Wrestling Podcast,20813,840,96.35
Touchline Fracas: A Premier League Football Podcast ( Arsenal Chelsea Liverpool Spurs Manchester United ),118467,5118,262.09
Trench Warfare,16433,5008,335.36
Triples Alley Report: An SF Giants Pod,764,313,27.28
Two Jabronis With A Wrestling Podcast,26671,1314,238.13
Vegas Nation - Raiders Football,353376,6543,1419.18
Veteran's Minimum,230128,3104,615.31
Washed Up Walkons,278166,17165,1528.38
We Have A Take,439,176,33.76
